% generated by FindSubsumingRelation script %
% (c) 2016 Ali Parsai --- www.parsai.net    %




@relation 'subsuming'
@attribute 'IsSubsuming' { 'True', 'False' }
@attribute 'IsRedundant' { 'True', 'False' }
@attribute 'MutantType' { 'arithmeticOperatorReplacementBinary', 'arithmeticOperatorReplacementShortcut', 'arithmeticOperatorReplacementUnary', 'logicalOperatorReplacement', 'shiftOperatorReplacement', 'relationalOperatorReplacement', 'conditionalOperatorReplacement', 'conditionalOperatorDeletion', 'assignmentOperatorReplacementShortcut' }
@attribute 'TimesCovered' numeric


@data

False,False,conditionalOperatorReplacement,89
False,False,conditionalOperatorReplacement,76
False,False,relationalOperatorReplacement,22
False,False,relationalOperatorReplacement,89
False,False,relationalOperatorReplacement,89
True,False,relationalOperatorReplacement,46
False,False,relationalOperatorReplacement,102
False,False,conditionalOperatorReplacement,76
False,False,conditionalOperatorDeletion,52
False,False,relationalOperatorReplacement,52
False,False,conditionalOperatorReplacement,52
False,False,relationalOperatorReplacement,89
True,False,relationalOperatorReplacement,82
False,False,relationalOperatorReplacement,29
True,False,relationalOperatorReplacement,11
False,False,conditionalOperatorReplacement,128
False,False,conditionalOperatorReplacement,90
False,False,conditionalOperatorDeletion,128
False,False,relationalOperatorReplacement,128
False,False,conditionalOperatorReplacement,28
False,False,relationalOperatorReplacement,6
True,False,relationalOperatorReplacement,1
False,False,relationalOperatorReplacement,38
False,False,conditionalOperatorDeletion,28
False,False,relationalOperatorReplacement,6
False,False,conditionalOperatorReplacement,8
True,False,relationalOperatorReplacement,5
False,False,relationalOperatorReplacement,34
False,False,relationalOperatorReplacement,78
False,False,relationalOperatorReplacement,3
False,False,relationalOperatorReplacement,8
False,False,relationalOperatorReplacement,29
False,False,conditionalOperatorDeletion,69
False,False,conditionalOperatorDeletion,41
False,False,relationalOperatorReplacement,78
False,False,relationalOperatorReplacement,10
False,False,relationalOperatorReplacement,35
True,False,relationalOperatorReplacement,6
False,False,relationalOperatorReplacement,108
False,False,relationalOperatorReplacement,87
False,False,relationalOperatorReplacement,14
False,False,conditionalOperatorReplacement,199
False,False,relationalOperatorReplacement,56
False,False,conditionalOperatorDeletion,26
False,False,relationalOperatorReplacement,426
False,False,relationalOperatorReplacement,46
False,False,relationalOperatorReplacement,164
False,False,relationalOperatorReplacement,42
False,False,relationalOperatorReplacement,37
False,False,relationalOperatorReplacement,41
False,False,conditionalOperatorReplacement,131
False,False,relationalOperatorReplacement,131
False,False,conditionalOperatorDeletion,27
False,False,conditionalOperatorReplacement,27
False,False,relationalOperatorReplacement,27
True,False,relationalOperatorReplacement,1
False,False,conditionalOperatorDeletion,77
False,False,conditionalOperatorDeletion,3
True,False,conditionalOperatorDeletion,1
False,False,conditionalOperatorDeletion,12
False,False,relationalOperatorReplacement,21
False,False,conditionalOperatorDeletion,18
False,False,relationalOperatorReplacement,13
False,False,conditionalOperatorReplacement,170
False,False,relationalOperatorReplacement,79
False,False,relationalOperatorReplacement,22
False,False,relationalOperatorReplacement,162
False,False,relationalOperatorReplacement,79
False,False,conditionalOperatorDeletion,23
False,True,arithmeticOperatorReplacementShortcut,9
False,True,relationalOperatorReplacement,9
False,True,conditionalOperatorReplacement,228
False,True,shiftOperatorReplacement,0
True,True,relationalOperatorReplacement,2
False,True,relationalOperatorReplacement,14
False,True,relationalOperatorReplacement,16
False,True,relationalOperatorReplacement,42
False,True,relationalOperatorReplacement,228
False,True,relationalOperatorReplacement,218
True,True,relationalOperatorReplacement,4
True,True,conditionalOperatorReplacement,228
True,True,logicalOperatorReplacement,459
False,True,relationalOperatorReplacement,99
False,True,relationalOperatorReplacement,568
False,True,relationalOperatorReplacement,42
False,True,relationalOperatorReplacement,135
True,True,relationalOperatorReplacement,12
False,True,relationalOperatorReplacement,994
True,True,relationalOperatorReplacement,9
True,True,conditionalOperatorReplacement,18
True,True,relationalOperatorReplacement,1
True,True,logicalOperatorReplacement,27
True,True,conditionalOperatorDeletion,1575
False,True,relationalOperatorReplacement,15
False,True,relationalOperatorReplacement,117
False,True,relationalOperatorReplacement,170
False,True,conditionalOperatorDeletion,23
False,True,conditionalOperatorReplacement,79
False,True,relationalOperatorReplacement,0
False,True,relationalOperatorReplacement,29
False,True,relationalOperatorReplacement,30
False,True,relationalOperatorReplacement,30
True,True,conditionalOperatorReplacement,5
False,True,relationalOperatorReplacement,38
False,True,conditionalOperatorReplacement,87
False,True,arithmeticOperatorReplacementBinary,17
False,True,conditionalOperatorDeletion,42
False,True,conditionalOperatorDeletion,69
False,True,relationalOperatorReplacement,165
False,True,relationalOperatorReplacement,43
False,True,relationalOperatorReplacement,44
False,True,relationalOperatorReplacement,76
True,True,relationalOperatorReplacement,16
True,True,relationalOperatorReplacement,11
True,True,relationalOperatorReplacement,22
True,True,relationalOperatorReplacement,1
True,True,relationalOperatorReplacement,2
True,True,relationalOperatorReplacement,4
True,True,shiftOperatorReplacement,0
True,True,relationalOperatorReplacement,31
False,True,conditionalOperatorReplacement,1575
False,True,conditionalOperatorDeletion,95
False,True,relationalOperatorReplacement,218
True,True,relationalOperatorReplacement,7
True,True,relationalOperatorReplacement,18
True,False,conditionalOperatorReplacement,302
False,False,conditionalOperatorReplacement,302
False,False,relationalOperatorReplacement,3270
False,False,conditionalOperatorReplacement,302
False,False,relationalOperatorReplacement,108
False,False,arithmeticOperatorReplacementBinary,75
False,False,relationalOperatorReplacement,12
False,False,conditionalOperatorReplacement,45
True,False,arithmeticOperatorReplacementBinary,7
False,False,relationalOperatorReplacement,91
True,False,conditionalOperatorReplacement,169
True,False,arithmeticOperatorReplacementBinary,15
False,False,arithmeticOperatorReplacementUnary,121
False,False,relationalOperatorReplacement,121
False,False,relationalOperatorReplacement,38
False,False,relationalOperatorReplacement,38
False,False,relationalOperatorReplacement,12
False,False,arithmeticOperatorReplacementShortcut,88
True,False,conditionalOperatorReplacement,14
